Date,Open,High,Low,Close,Adj Close,Volume
2-11-1981,0.473214,0.473214,0.470982,0.470982,0.37217,3460800
2-12-1981,0.46875,0.46875,0.466518,0.466518,0.368643,3640000
2-13-1981,0.459821,0.459821,0.455357,0.455357,0.359824,2788800
2-17-1981,0.466518,0.46875,0.466518,0.466518,0.368643,3068800
2-18-1981,0.486607,0.491071,0.486607,0.486607,0.384517,4810400
2-19-1981,0.459821,0.459821,0.457589,0.457589,0.361587,5577600
2-20-1981,0.435268,0.435268,0.433036,0.433036,0.342185,6092800
2-23-1981,0.439732,0.441964,0.439732,0.439732,0.347477,3528000
2-24-1981,0.428571,0.428571,0.424107,0.424107,0.33513,4244800
2-25-1981,0.450893,0.453125,0.450893,0.450893,0.356296,4872000
2-26-1981,0.457589,0.459821,0.457589,0.457589,0.361587,2710400
2-27-1981,0.473214,0.477679,0.473214,0.473214,0.373934,3690400
3-2-1981,0.475446,0.477679,0.475446,0.475446,0.375698,2940000
3-3-1981,0.470982,0.470982,0.46875,0.46875,0.370406,4043200
3-4-1981,0.466518,0.466518,0.464286,0.464286,0.366879,3427200
3-5-1981,0.464286,0.464286,0.462054,0.462054,0.365115,1344000
3-6-1981,0.462054,0.462054,0.457589,0.457589,0.361587,2900800
3-9-1981,0.424107,0.424107,0.421875,0.421875,0.333366,3830400
3-10-1981,0.404018,0.404018,0.401786,0.401786,0.317491,7095200
3-11-1981,0.390625,0.390625,0.386161,0.386161,0.305144,7464800
3-12-1981,0.401786,0.404018,0.401786,0.401786,0.317491,14812000
3-13-1981,0.399554,0.399554,0.397321,0.397321,0.313964,57825600
3-16-1981,0.412946,0.417411,0.412946,0.412946,0.326311,9307200
3-17-1981,0.433036,0.4375,0.433036,0.433036,0.342185,10936800
3-18-1981,0.459821,0.464286,0.459821,0.459821,0.363351,9234400
3-19-1981,0.457589,0.457589,0.455357,0.455357,0.359824,9452800
3-20-1981,0.459821,0.464286,0.459821,0.459821,0.363351,3651200
3-23-1981,0.477679,0.482143,0.477679,0.477679,0.377462,5504800
3-24-1981,0.477679,0.477679,0.475446,0.475446,0.375698,7039200
3-25-1981,0.470982,0.470982,0.466518,0.466518,0.368643,1764000
3-26-1981,0.459821,0.459821,0.457589,0.457589,0.361587,3068800
3-27-1981,0.444196,0.444196,0.441964,0.441964,0.34924,3063200
3-30-1981,0.441964,0.446429,0.441964,0.441964,0.34924,2475200
3-31-1981,0.441964,0.441964,0.4375,0.4375,0.345713,3998400
4-1-1981,0.435268,0.435268,0.433036,0.433036,0.342185,8517600
4-2-1981,0.470982,0.473214,0.470982,0.470982,0.37217,7851200
4-3-1981,0.473214,0.475446,0.473214,0.473214,0.373934,4121600
4-6-1981,0.466518,0.466518,0.464286,0.464286,0.366879,5700800
4-7-1981,0.462054,0.462054,0.459821,0.459821,0.363351,2671200
4-8-1981,0.482143,0.486607,0.482143,0.482143,0.38099,5488000
4-9-1981,0.491071,0.493304,0.491071,0.491071,0.388045,3124800
4-10-1981,0.497768,0.5,0.497768,0.497768,0.393336,8366400
4-13-1981,0.497768,0.5,0.497768,0.497768,0.393336,4015200
4-14-1981,0.497768,0.5,0.497768,0.497768,0.393336,1663200
4-15-1981,0.475446,0.475446,0.473214,0.473214,0.373934,8512000
4-16-1981,0.448661,0.448661,0.446429,0.446429,0.352768,5969600
4-20-1981,0.459821,0.462054,0.459821,0.459821,0.363351,8836800
4-21-1981,0.491071,0.493304,0.491071,0.491071,0.388045,7134400
4-22-1981,0.508929,0.511161,0.508929,0.508929,0.402156,4748800
4-23-1981,0.522321,0.524554,0.522321,0.522321,0.412739,14504000
4-24-1981,0.522321,0.522321,0.517857,0.517857,0.409211,8764000
4-27-1981,0.515625,0.515625,0.513393,0.513393,0.405683,9632000
4-28-1981,0.506696,0.506696,0.504464,0.504464,0.398628,8047200
4-29-1981,0.5,0.5,0.497768,0.497768,0.393336,3410400
4-30-1981,0.506696,0.511161,0.506696,0.506696,0.400392,3152800
5-1-1981,0.506696,0.511161,0.506696,0.506696,0.400392,4138400
5-4-1981,0.506696,0.506696,0.504464,0.504464,0.398628,3612000
5-5-1981,0.504464,0.504464,0.502232,0.502232,0.396864,4384800
5-6-1981,0.491071,0.491071,0.488839,0.488839,0.386281,4737600
5-7-1981,0.495536,0.497768,0.495536,0.495536,0.391573,2340800
5-8-1981,0.5,0.502232,0.5,0.5,0.3951,1976800
5-11-1981,0.491071,0.491071,0.488839,0.488839,0.386281,2984800
5-12-1981,0.488839,0.495536,0.488839,0.488839,0.386281,1064000
5-13-1981,0.488839,0.493304,0.486607,0.486607,0.384517,1226400
5-14-1981,0.484375,0.484375,0.479911,0.479911,0.379226,1232000
5-15-1981,0.491071,0.497768,0.491071,0.491071,0.388045,1226400
5-18-1981,0.5,0.504464,0.5,0.5,0.3951,1041600
5-19-1981,0.493304,0.493304,0.491071,0.491071,0.388045,6356000
5-20-1981,0.506696,0.511161,0.506696,0.506696,0.400392,3320800
5-21-1981,0.535714,0.537946,0.535714,0.535714,0.423322,8052800
5-22-1981,0.560268,0.564732,0.560268,0.560268,0.442724,7856800
5-26-1981,0.560268,0.560268,0.558036,0.558036,0.44096,21336000
5-27-1981,0.589286,0.591518,0.589286,0.589286,0.465654,37374400
5-28-1981,0.589286,0.591518,0.589286,0.589286,0.465654,18496800
5-29-1981,0.591518,0.59375,0.591518,0.591518,0.467418,14845600
6-1-1981,0.591518,0.59375,0.591518,0.591518,0.467418,12812800
6-2-1981,0.564732,0.564732,0.5625,0.5625,0.444488,10108000
6-3-1981,0.5625,0.566964,0.5625,0.5625,0.444488,9861600
6-4-1981,0.573661,0.575893,0.573661,0.573661,0.453307,14016800
6-5-1981,0.566964,0.566964,0.564732,0.564732,0.446252,14420000
6-8-1981,0.546875,0.546875,0.544643,0.544643,0.430377,23374400
6-9-1981,0.555804,0.558036,0.555804,0.555804,0.439196,29898400
6-10-1981,0.5625,0.569196,0.5625,0.5625,0.444488,6305600
6-11-1981,0.587054,0.589286,0.587054,0.587054,0.46389,9744000
6-12-1981,0.582589,0.582589,0.580357,0.580357,0.458599,6451200
6-15-1981,0.580357,0.580357,0.578125,0.578125,0.456835,35940800
6-16-1981,0.569196,0.569196,0.566964,0.566964,0.448015,9312800
6-17-1981,0.560268,0.560268,0.558036,0.558036,0.44096,6893600
6-18-1981,0.558036,0.560268,0.555804,0.555804,0.439196,5762400
6-19-1981,0.542411,0.542411,0.540179,0.540179,0.426849,6876800
6-22-1981,0.522321,0.522321,0.520089,0.520089,0.410975,2710400
6-23-1981,0.529018,0.533482,0.529018,0.529018,0.41803,3757600
6-24-1981,0.520089,0.520089,0.515625,0.515625,0.407447,5756800
6-25-1981,0.526786,0.529018,0.526786,0.526786,0.416266,6064800
6-26-1981,0.524554,0.524554,0.520089,0.520089,0.410975,5947200
6-29-1981,0.506696,0.506696,0.502232,0.502232,0.396864,2648800
6-30-1981,0.466518,0.466518,0.464286,0.464286,0.366879,8976800
7-1-1981,0.462054,0.462054,0.459821,0.459821,0.363351,42616000
